season,team,playcaller,playcaller_role
2018,JAX,Nathaniel Hackett,Offensive Coordinator
2018,KC,Andy Reid,Head Coach
2018,LA,Sean McVay,Head Coach
2018,LAC,Ken Whisenhunt,Offensive Coordinator
2018,MIA,Adam Gase,Head Coach
2018,MIN,John DeFilippo,Offensive Coordinator
2018,NE,Josh McDaniels,Offensive Coordinator
2018,NO,Sean Payton,Head Coach
2018,NYG,Pat Shurmur,Head Coach
2018,NYJ,Jeremy Bates,Offensive Coordinator
2018,OAK,Jon Gruden,Head Coach
2018,PHI,Doug Pederson,Head Coach
2018,PIT,Randy Fichtner,Offensive Coordinator
2018,SEA,Brian Schottenheimer,Offensive Coordinator
2018,SF,Kyle Shanahan,Head Coach
2018,TB,Todd Monken,Offensive Coordinator
2018,TEN,Matt LaFleur,Offensive Coordinator
2018,WAS,Jay Gruden,Head Coach
2019,ARI,Kliff Kingsbury,Head Coach
2019,ATL,Dirk Koetter,Offensive Coordinator
2019,BAL,Greg Roman,Offensive Coordinator
2019,BUF,Brian Daboll,Offensive Coordinator
2019,CAR,Norv Turner,Offensive Coordinator
2019,CHI,Matt Nagy,Head Coach
2019,CIN,Zac Taylor,Head Coach
2019,CLE,Freddie Kitchens,Head Coach
2019,DAL,Kellen Moore,Offensive Coordinator
2019,DEN,Rich Scangarello,Offensive Coordinator
2019,DET,Darrell Bevell,Offensive Coordinator
2019,GB,Matt LaFleur,Head Coach
2019,HOU,Tim Kelly,Offensive Coordinator
2019,IND,Frank Reich,Head Coach
2019,JAX,John DeFilippo,Offensive Coordinator
2019,KC,Andy Reid,Head Coach
2019,LA,Sean McVay,Head Coach
2019,LAC,Ken Whisenhunt,Offensive Coordinator
2019,MIA,Chad O'Shea,Offensive Coordinator
2019,MIN,Kevin Stefanski,Offensive Coordinator
2019,NE,Josh McDaniels,Offensive Coordinator
2019,NO,Sean Payton,Head Coach
2019,NYG,Pat Shurmur,Head Coach
2019,NYJ,Adam Gase,Head Coach
2019,OAK,Jon Gruden,Head Coach
2019,PHI,Doug Pederson,Head Coach
2019,PIT,Randy Fichtner,Offensive Coordinator
2019,SEA,Brian Schottenheimer,Offensive Coordinator
2019,SF,Kyle Shanahan,Head Coach
2019,TB,Byron Leftwich,Offensive Coordinator
2019,TEN,Arthur Smith,Offensive Coordinator
2019,WAS,Jay Gruden,Head Coach
2020,ARI,Kliff Kingsbury,Head Coach
2020,ATL,Dirk Koetter,Offensive Coordinator
2020,BAL,Greg Roman,Offensive Coordinator
2020,BUF,Brian Daboll,Offensive Coordinator
2020,CAR,Joe Brady,Offensive Coordinator
2020,CHI,Matt Nagy,Head Coach
2020,CIN,Zac Taylor,Head Coach
2020,CLE,Kevin Stefanski,Head Coach
2020,DAL,Kellen Moore,Offensive Coordinator
2020,DEN,Pat Shurmur,Offensive Coordinator
2020,DET,Darrell Bevell,Offensive Coordinator
2020,GB,Matt LaFleur,Head Coach
2020,HOU,Tim Kelly,Offensive Coordinator
2020,IND,Frank Reich,Head Coach
2020,JAX,Jay Gruden,Offensive Coordinator
2020,KC,Andy Reid,Head Coach
2020,LA,Sean McVay,Head Coach
2020,LAC,Shane Steichen,Offensive Coordinator
2020,LV,Jon Gruden,Head Coach
2020,MIA,Chan Gailey,Offensive Coordinator
2020,MIN,Gary Kubiak,Offensive Coordinator
2020,NE,Josh McDaniels,Offensive Coordinator
2020,NO,Sean Payton,Head Coach
2020,NYG,Jason Garrett,Offensive Coordinator
2020,NYJ,Adam Gase,Head Coach
2020,PHI,Doug Pederson,Head Coach
2020,PIT,Randy Fichtner,Offensive Coordinator
2020,SEA,Brian Schottenheimer,Offensive Coordinator
2020,SF,Kyle Shanahan,Head Coach
2020,TB,Byron Leftwich,Offensive Coordinator
2020,TEN,Arthur Smith,Offensive Coordinator
2020,WAS,Scott Turner,Offensive Coordinator
2021,ARZ,Kliff Kingsbury,Head Coach
2021,ATL,Arthur Smith,Head Coach
2021,BAL,Greg Roman,Offensive Coordinator
2021,BUF,Brian Daboll,Offensive Coordinator
2021,CAR,Joe Brady,Offensive Coordinator
2021,CHI,Bill Lazor,Offensive Coordinator
2021,CIN,Zac Taylor,Head Coach
2021,CLE,Kevin Stefanski,Head Coach
2021,DAL,Kellen Moore,Offensive Coordinator
2021,DEN,Pat Shurmur,Offensive Coordinator
2021,DET,Dan Campbell,Head Coach
2021,GB,Matt LaFleur,Head Coach
2021,HOU,Tim Kelly,Offensive Coordinator
2021,IND,Frank Reich,Head Coach
2021,JAX,Darrell Bevell,Offensive Coordinator
2021,KC,Andy Reid,Head Coach
2021,LAC,Joe Lombardi,Offensive Coordinator
2021,LAR,Sean McVay,Head Coach
2021,LV,Greg Olson,Offensive Coordinator
2021,MIA,George Godsey,Offensive Coordinator
2021,MIN,Klint Kubiak,Offensive Coordinator
2021,NE,Josh McDaniels,Offensive Coordinator
2021,NO,Sean Payton,Head Coach
2021,NYG,Jason Garrett,Offensive Coordinator
2021,NYJ,Mike LaFleur,Offensive Coordinator
2021,PHI,Shane Steichen,Offensive Coordinator
2021,PIT,Matt Canada,Offensive Coordinator
2021,SEA,Shane Waldron,Offensive Coordinator
2021,SF,Kyle Shanahan,Head Coach
2021,TB,Byron Leftwich,Offensive Coordinator
2021,TEN,Todd Downing,Offensive Coordinator
2021,WAS,Scott Turner,Offensive Coordinator
2022,ARZ,Kliff Kingsbury,Head Coach
2022,ATL,Arthur Smith,Head Coach
2022,BAL,Greg Roman,Offensive Coordinator
2022,BUF,Ken Dorsey,Offensive Coordinator
2022,CAR,Ben McAdoo,Offensive Coordinator
2022,CHI,Luke Getsy,Offensive Coordinator
2022,CIN,Zac Taylor,Head Coach
2022,CLE,Kevin Stefanski,Head Coach
2022,DAL,Kellen Moore,Offensive Coordinator
2022,DEN,Nathaniel Hackett,Head Coach
2022,DET,Ben Johnson,Offensive Coordinator
2022,GB,Matt LaFleur,Head Coach
2022,HOU,Pep Hamilton,Offensive Coordinator
2022,IND,Frank Reich,Head Coach
2022,JAX,Doug Pederson,Head Coach
2022,KC,Andy Reid,Head Coach
2022,LAC,Joe Lombardi,Offensive Coordinator
2022,LAR,Sean McVay,Head Coach
2022,LV,Josh McDaniels,Head Coach
2022,MIA,Mike McDaniel,Head Coach
2022,MIN,Kevin O'Connell,Head Coach
2022,NE,Matt Patricia,Advisor
2022,NO,Pete Carmichael,Offensive Coordinator
2022,NYG,Mike Kafka,Offensive Coordinator
2022,NYJ,Mike LaFleur,Offensive Coordinator
2022,PHI,Shane Steichen,Offensive Coordinator
2022,PIT,Matt Canada,Offensive Coordinator
2022,SEA,Shane Waldron,Offensive Coordinator
2022,SF,Kyle Shanahan,Head Coach
2022,TB,Byron Leftwich,Offensive Coordinator
2022,TEN,Todd Downing,Offensive Coordinator
2022,WAS,Scott Turner,Offensive Coordinator
2023,ARZ,Drew Petzing,Offensive Coordinator
2023,ATL,Arthur Smith,Head Coach
2023,BAL,Todd Monken,Offensive Coordinator
2023,BUF,Ken Dorsey,Offensive Coordinator
2023,CAR,Thomas Brown,Offensive Coordinator
2023,CHI,Luke Getsy,Offensive Coordinator
2023,CIN,Zac Taylor,Head Coach
2023,CLE,Kevin Stefanski,Head Coach
2023,DAL,Mike McCarthy,Head Coach
2023,DEN,Sean Payton,Head Coach
2023,DET,Ben Johnson,Offensive Coordinator
2023,GB,Matt LaFleur,Head Coach
2023,HOU,Bobby Slowik,Offensive Coordinator
2023,IND,Shane Steichen,Head Coach
2023,JAX,Press Taylor,Offensive Coordinator
2023,KC,Andy Reid,Head Coach
2023,LAC,Kellen Moore,Offensive Coordinator
2023,LAR,Sean McVay,Head Coach
2023,LV,Bo Hardegree,Offensive Coordinator
2023,MIA,Mike McDaniel,Head Coach
2023,MIN,Kevin O'Connell,Head Coach
2023,NE,Bill O'Brien,Offensive Coordinator
2023,NO,Pete Carmichael,Offensive Coordinator
2023,NYG,Mike Kafka,Offensive Coordinator
2023,NYJ,Nathaniel Hackett,Offensive Coordinator
2023,PHI,Brian Johnson,Offensive Coordinator
2023,PIT,Matt Canada,Offensive Coordinator
2023,SEA,Shane Waldron,Offensive Coordinator
2023,SF,Kyle Shanahan,Head Coach
2023,TB,Dave Canales,Offensive Coordinator
2023,TEN,Tim Kelly,Offensive Coordinator
2023,WAS,Eric Bieniemy,Offensive Coordinator
2024,ARZ,Drew Petzing,Offensive Coordinator
2024,ATL,Zac Robinson,Offensive Coordinator
2024,BAL,Todd Monken,Offensive Coordinator
2024,BUF,Joe Brady,Offensive Coordinator
2024,CAR,Dave Canales,Head Coach
2024,CHI,Shane Waldron,Offensive Coordinator
2024,CIN,Zac Taylor,Head Coach
2024,CLE,Ken Dorsey,Offensive Coordinator
2024,DAL,Mike McCarthy,Head Coach
2024,DEN,Sean Payton,Head Coach
2024,DET,Ben Johnson,Offensive Coordinator
2024,GB,Matt LaFleur,Head Coach
2024,HOU,Bobby Slowik,Offensive Coordinator
2024,IND,Shane Steichen,Head Coach
2024,JAX,Press Taylor,Offensive Coordinator
2024,KC,Andy Reid,Head Coach
2024,LAC,Greg Roman,Offensive Coordinator
2024,LAR,Sean McVay,Head Coach
2024,LV,Luke Getsy,Offensive Coordinator
2024,MIA,Mike McDaniel,Head Coach
2024,MIN,Kevin O'Connell,Head Coach
2024,NE,Alex Van Pelt,Offensive Coordinator
2024,NO,Klint Kubiak,Offensive Coordinator
2024,NYG,Brian Daboll,Head Coach
2024,NYJ,Todd Downing,Passing Game Coordinator
2024,PHI,Kellen Moore,Offensive Coordinator
2024,PIT,Arthur Smith,Offensive Coordinator
2024,SEA,Ryan Grubb,Offensive Coordinator
2024,SF,Kyle Shanahan,Head Coach
2024,TB,Liam Coen,Offensive Coordinator
2024,TEN,Brian Callahan,Head Coach
2024,WAS,Kliff Kingsbury,Offensive Coordinator
2025,ARZ,Drew Petzing,Offensive Coordinator
2025,ATL,Zac Robinson,Offensive Coordinator
2025,BAL,Todd Monken,Offensive Coordinator
2025,BUF,Joe Brady,Offensive Coordinator
2025,CAR,Dave Canales,Head Coach
2025,CHI,Ben Johnson,Head Coach
2025,CIN,Zac Taylor,Head Coach
2025,CLE,Tommy Rees,Offensive Coordinator
2025,DAL,Brian Schottenheimer,Head Coach
2025,DEN,Sean Payton,Head Coach
2025,DET,Dan Campbell,Head Coach
2025,GB,Matt LaFleur,Head Coach
2025,HOU,Nick Caley,Offensive Coordinator
2025,IND,Shane Steichen,Head Coach
2025,JAX,Liam Coen,Head Coach
2025,KC,Andy Reid,Head Coach
2025,LAC,Greg Roman,Offensive Coordinator
2025,LAR,Sean McVay,Head Coach
2025,LV,Chip Kelly,Offensive Coordinator
2025,MIA,Mike McDaniel,Head Coach
2025,MIN,Kevin O'Connell,Head Coach
2025,NE,Josh McDaniels,Offensive Coordinator
2025,NO,Kellen Moore,Head Coach
2025,NYG,Brian Daboll,Head Coach
2025,NYJ,Tanner Engstrand,Offensive Coordinator
2025,PHI,Kevin Patullo,Passing Game Coordinator
2025,PIT,Arthur Smith,Offensive Coordinator
2025,SEA,Klint Kubiak,Offensive Coordinator
2025,SF,Kyle Shanahan,Head Coach
2025,TB,Josh Grizzard,Offensive Coordinator
2025,TEN,Brian Callahan,Head Coach
2025,WAS,Kliff Kingsbury,Offensive Coordinator
2026,ARZ,Mike LaFleur,Head Coach
2026,ATL,Tommy Rees,Offensive Coordinator
2026,BAL,Declan Doyle,Offensive Coordinator
2026,BUF,Joe Brady,Offensive Coordinator
2026,CAR,Brad Idzik,Offensive Coordinator
2026,CHI,Ben Johnson,Head Coach
2026,CIN,Zac Taylor,Head Coach
2026,CLE,Todd Monken,Head Coach
2026,DAL,Brian Schottenheimer,Head Coach
2026,DEN,Davis Webb,Offensive Coordinator
2026,DET,Drew Petzing,Offensive Coordinator
2026,GB,Matt LaFleur,Head Coach
2026,HOU,Nick Caley,Offensive Coordinator
2026,IND,Shane Steichen,Head Coach
2026,JAX,Liam Coen,Head Coach
2026,KC,Andy Reid,Head Coach
2026,LAC,Mike McDaniel,Offensive Coordinator
2026,LAR,Sean McVay,Head Coach
2026,LV,Klint Kubiak,Head Coach
2026,MIA,Bobby Slowik,Offensive Coordinator
2026,MIN,Kevin O'Connell,Head Coach
2026,NE,Josh McDaniels,Offensive Coordinator
2026,NO,Kellen Moore,Head Coach
2026,NYG,Matt Nagy,Offensive Coordinator
2026,NYJ,Frank Reich,Offensive Coordinator
2026,PHI,Sean Mannion,Offensive Coordinator
2026,PIT,Mike McCarthy,Head Coach
2026,SEA,Brian Fleury,Offensive Coordinator
2026,SF,Kyle Shanahan,Head Coach
2026,TB,Zac Robinson,Offensive Coordinator
2026,TEN,Brian Daboll,Offensive Coordinator
2026,WAS,David Blough,Offensive Coordinator
